node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb,idle_ms,tag,rho,slowdown,slowdown_pct
edge_fast,decode,8,128,28,12.552148516988382,3.2038450241088867,7.923835015390068,0p70,0.6965,1.5841001854037813,58.410018540378125
edge_fast,prefill,8,512,28,162.48778899898753,4.165493011474609,114.75436598993838,0p70,0.6965,1.4159617161166174,41.59617161166174
edge_fast,decode,8,512,28,12.142524996306747,4.156306266784668,8.30898099229671,0p70,0.6965,1.461373543586648,46.137354358664794
edge_fast,prefill,8,2048,28,656.0438880114816,8.00551986694336,457.14936798322015,0p70,0.6965,1.4350755660140428,43.50755660140428
edge_fast,decode,8,2048,28,13.530270487535743,7.966894626617432,9.574528987286612,0p70,0.6965,1.413152595339332,41.3152595339332
edge_fast,prefill,1,128,28,12.726751971058547,2.925077438354492,9.655238507548347,0p80,0.8059999999999999,1.3181188596334446,31.811885963344455
edge_fast,decode,1,128,28,10.22068748716265,2.9250259399414062,8.546328492229804,0p80,0.8059999999999999,1.1959155907071848,19.59155907071848
edge_fast,prefill,1,512,28,25.402435974683613,3.04446792602539,17.43668701965362,0p80,0.8059999999999999,1.4568384433379726,45.68384433379726
edge_fast,decode,1,512,28,10.19151002401486,3.043076515197754,7.807021989719942,0p80,0.8059999999999999,1.3054286304604679,30.542863046046786
edge_fast,prefill,1,2048,28,89.20312151894905,3.5248374938964844,58.13206150196493,0p80,0.8059999999999999,1.534490936914974,53.449093691497396
edge_fast,decode,1,2048,28,10.567574994638562,3.561000347137451,7.888109510531649,0p80,0.8059999999999999,1.3396841132250357,33.96841132250357
edge_fast,prefill,4,128,28,24.964862008346245,3.04446792602539,16.968926502158865,0p80,0.8059999999999999,1.4712104507713024,47.12104507713024
edge_fast,decode,4,128,28,12.030979472910984,3.044468879699707,8.309366996400058,0p80,0.8059999999999999,1.4478815869034636,44.78815869034636
edge_fast,prefill,4,512,28,85.13975550886244,3.5248374938964844,55.57264748495072,0p80,0.8059999999999999,1.5320442584981866,53.20442584981866
edge_fast,decode,4,512,28,12.612709979293868,3.56173038482666,8.380798011785373,0p80,0.8059999999999999,1.5049533423377381,50.49533423377382
edge_fast,prefill,4,2048,28,336.5970590093639,5.444850921630859,219.9476435198449,0p80,0.8059999999999999,1.5303508308739586,53.03508308739586
edge_fast,decode,4,2048,28,12.86580998566933,5.425539493560791,8.852863014908507,0p80,0.8059999999999999,1.4532936931253642,45.329369312536414
edge_fast,prefill,8,128,28,41.7637515347451,3.204265594482422,27.880439505679533,0p80,0.8059999999999999,1.4979588656139151,49.79588656139151
edge_fast,decode,8,128,28,12.389292503939942,3.2038450241088867,7.923835015390068,0p80,0.8059999999999999,1.5635475094921636,56.35475094921636
edge_fast,prefill,8,512,28,172.41275749984197,4.165493011474609,114.75436598993838,0p80,0.8059999999999999,1.5024505256293172,50.245052562931726
edge_fast,decode,8,512,28,12.26368799689226,4.156306266784668,8.30898099229671,0p80,0.8059999999999999,1.4759557168637134,47.59557168637134
edge_fast,prefill,8,2048,28,701.9762600248214,8.00551986694336,457.14936798322015,0p80,0.8059999999999999,1.5355511987727122,53.55511987727122
edge_fast,decode,8,2048,28,14.171152492053809,7.966894626617432,9.574528987286612,0p80,0.8059999999999999,1.480088734481952,48.0088734481952
