method,baseline,condition_name,condition,metric,metric_label,improvement,unit
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.6,p95_e2e_reduction_pct,P95 E2E reduction,1.3278957219529286,%
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.6,slo_gain_pp,SLO satisfaction gain,0.33333333333334103,percentage points
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.6,throughput_gain_pct,Throughput gain,0.21159114509042912,%
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.6,goodput_gain_pct,Goodput gain,0.9297890819822029,%
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.6,avg_e2e_reduction_pct,Average E2E reduction,40.077907690192106,%
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.6,p95_e2e_reduction_pct,P95 E2E reduction,39.46503089071239,%
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.6,slo_gain_pp,SLO satisfaction gain,18.583333333333343,percentage points
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.6,throughput_gain_pct,Throughput gain,19.38738194530777,%
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.6,goodput_gain_pct,Goodput gain,108.13551789679634,%
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.6,avg_e2e_reduction_pct,Average E2E reduction,44.6083676300592,%
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.6,p95_e2e_reduction_pct,P95 E2E reduction,40.353490534266456,%
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.6,slo_gain_pp,SLO satisfaction gain,11.58333333333334,percentage points
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.6,throughput_gain_pct,Throughput gain,18.119430088600623,%
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.6,goodput_gain_pct,Goodput gain,50.37854678565565,%
Full,NoBatch-LB,arrival_rate_rps,0.6,avg_e2e_reduction_pct,Average E2E reduction,35.81291514073535,%
Full,NoBatch-LB,arrival_rate_rps,0.6,p95_e2e_reduction_pct,P95 E2E reduction,28.608527634847757,%
Full,NoBatch-LB,arrival_rate_rps,0.6,slo_gain_pp,SLO satisfaction gain,11.249999999999998,percentage points
Full,NoBatch-LB,arrival_rate_rps,0.6,throughput_gain_pct,Throughput gain,19.58465843301277,%
Full,NoBatch-LB,arrival_rate_rps,0.6,goodput_gain_pct,Goodput gain,51.48131330155208,%
Full,Fixed4-LB,arrival_rate_rps,0.6,avg_e2e_reduction_pct,Average E2E reduction,13.3990929068915,%
Full,Fixed4-LB,arrival_rate_rps,0.6,p95_e2e_reduction_pct,P95 E2E reduction,7.042609334516318,%
Full,Fixed4-LB,arrival_rate_rps,0.6,slo_gain_pp,SLO satisfaction gain,6.0,percentage points
Full,Fixed4-LB,arrival_rate_rps,0.6,throughput_gain_pct,Throughput gain,3.682274466661432,%
Full,Fixed4-LB,arrival_rate_rps,0.6,goodput_gain_pct,Goodput gain,18.855098823719114,%
Full,SeqGreedy-LB,arrival_rate_rps,0.6,avg_e2e_reduction_pct,Average E2E reduction,10.027519412246198,%
Full,SeqGreedy-LB,arrival_rate_rps,0.6,p95_e2e_reduction_pct,P95 E2E reduction,7.372126781956648,%
Full,SeqGreedy-LB,arrival_rate_rps,0.6,slo_gain_pp,SLO satisfaction gain,5.249999999999999,percentage points
Full,SeqGreedy-LB,arrival_rate_rps,0.6,throughput_gain_pct,Throughput gain,3.0409237273123138,%
Full,SeqGreedy-LB,arrival_rate_rps,0.6,goodput_gain_pct,Goodput gain,16.4428793326162,%
Full,LECU-RBA (adapted),arrival_rate_rps,0.6,avg_e2e_reduction_pct,Average E2E reduction,44.37253901960306,%
Full,LECU-RBA (adapted),arrival_rate_rps,0.6,p95_e2e_reduction_pct,P95 E2E reduction,43.17314417342594,%
Full,LECU-RBA (adapted),arrival_rate_rps,0.6,slo_gain_pp,SLO satisfaction gain,23.5,percentage points
Full,LECU-RBA (adapted),arrival_rate_rps,0.6,throughput_gain_pct,Throughput gain,22.758115867244673,%
Full,LECU-RBA (adapted),arrival_rate_rps,0.6,goodput_gain_pct,Goodput gain,140.12632163138824,%
Full,DyBAP-Adapted,arrival_rate_rps,0.6,avg_e2e_reduction_pct,Average E2E reduction,48.57829976349082,%
Full,DyBAP-Adapted,arrival_rate_rps,0.6,p95_e2e_reduction_pct,P95 E2E reduction,44.0071805794052,%
Full,DyBAP-Adapted,arrival_rate_rps,0.6,slo_gain_pp,SLO satisfaction gain,16.499999999999996,percentage points
Full,DyBAP-Adapted,arrival_rate_rps,0.6,throughput_gain_pct,Throughput gain,21.454365182678618,%
Full,DyBAP-Adapted,arrival_rate_rps,0.6,goodput_gain_pct,Goodput gain,73.49200010071382,%
